Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+-
20221201,spencer dinwiddie,Dallas Mavericks,27:50,0,2,.000,0,1,.000,2,4,.500,0,0,0,6,0,1,1,0,2,3.7,+7
20221201,dwight powell,Dallas Mavericks,17:32,3,3,1.000,0,0,0,1,4,.250,0,1,1,0,0,1,4,4,7,0.3,-2
20221201,christian wood,Dallas Mavericks,34:35,10,13,.769,1,2,.500,4,6,.667,1,7,8,3,0,0,2,3,25,20.8,-9
20221201,maxi kleber,Dallas Mavericks,32:09,4,8,.500,2,5,.400,0,0,0,0,3,3,1,0,4,1,3,10,8.2,-4
20221201,reggie bullock,Dallas Mavericks,22:14,2,4,.500,1,3,.333,1,2,.500,0,4,4,0,1,0,0,1,6,5.4,+8
20221201,josh green,Dallas Mavericks,15:08,3,5,.600,0,2,.000,0,0,0,1,1,2,1,1,0,1,4,6,3.8,-5
20221201,davis bertans,Dallas Mavericks,2:30,0,1,.000,0,1,.000,2,3,.667,0,0,0,0,0,0,0,0,2,0.9,-3
20221201,jaden hardy,Dallas Mavericks,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221201,javale mcgee,Dallas Mavericks,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221201,frank ntilikina,Dallas Mavericks,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221201,theo pinson,Dallas Mavericks,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221201,bojan bogdanovic,Detroit Pistons,41:11,10,14,.714,5,6,.833,5,6,.833,0,4,4,4,2,0,2,3,30,26.6,+14
20221201,isaiah stewart,Detroit Pistons,36:34,4,12,.333,1,4,.250,0,0,0,3,9,12,3,0,0,1,2,9,7.3,+8
